
cpu_root,host=hostname value=1.5
mem_root,host=hostname value=11.3
cpu_sys,host=hostname value=0
mem_sys,host=hostname value=.8
cpu_sync,host=hostname value=0
mem_sync,host=hostname value=.2
cpu_lp,host=hostname value=0
mem_lp,host=hostname value=.2
cpu_www-data,host=hostname value=0
mem_www-data,host=hostname value=1.0
cpu_systemd-resolve,host=hostname value=0
mem_systemd-resolve,host=hostname value=.5
cpu_systemd-timesync,host=hostname value=0
mem_systemd-timesync,host=hostname value=.2
cpu_messagebus,host=hostname value=.1
mem_messagebus,host=hostname value=.2
cpu_syslog,host=hostname value=0
mem_syslog,host=hostname value=.1
cpu_rtkit,host=hostname value=0
mem_rtkit,host=hostname value=0
cpu_avahi,host=hostname value=0
mem_avahi,host=hostname value=.1
cpu_kernoops,host=hostname value=0
mem_kernoops,host=hostname value=0
cpu_whoopsie,host=hostname value=0
mem_whoopsie,host=hostname value=.6
cpu_colord,host=hostname value=0
mem_colord,host=hostname value=.5
cpu_ekarani,host=hostname value=25.6
mem_ekarani,host=hostname value=60.2
cpu_Debian-snmp,host=hostname value=.1
mem_Debian-snmp,host=hostname value=.8
cpu_influxdb,host=hostname value=1.0
mem_influxdb,host=hostname value=4.0
tasks,host=hostname value=219
threads,host=hostname value=695
sleeping,host=hostname value=181
